,Unnamed: 0,Index,2023-02-02_Check,2023-02-02_filename,2023-02-02_Text,2023-02-02_Presence confirm,2023-02-19_Check,2023-02-19_filename,2023-02-19_Text,2023-02-19_Presence confirm
16,16,16,True,bonappetit_16,Do not sell my personal information,Yes,True,,,
44,44,44,True,,,,True,tacobell_44,Do not sell or share my personal information,Yes
90,90,90,True,scarymommy_90,,No,True,,,
146,146,146,True,,,,True,wsj_146,Do not sell or share my personal information,Yes
163,163,163,True,go_163,Do not sell or share my personal information,Yes,True,,,
195,195,195,True,petco_195,California residents: do not sell my info,Yes,True,,,
197,197,197,True,1800petmeds_197,Do not sell my personal information,Yes,True,,,
374,374,374,True,hsn_374,Do not sell my personal information,Yes,True,,,
391,391,391,True,,,,True,com_391,,No
456,456,456,True,allaboutcircuits_456,Do not sell or share my personal information,Yes,True,,,
720,720,720,True,,,,True,glassesusa_720,Do not sell or share my personal information,Yes
760,760,760,True,prana_760,California residents: do not sell my info,Yes,True,,,
835,835,835,True,pursuitboats_835,,No,True,,,
861,861,861,True,,,,True,gq_861,Do not sell my personal information,Yes
871,871,871,True,,,,True,com_871,Do not sell my personal information,Yes
937,937,937,True,instructables_937,Do not sell or share my personal information,Yes,True,,,
997,997,997,True,,,,True,com_997,Do not sell my personal information,Yes
1015,1015,1015,True,forbes_1015,Do not sell or share my personal information,Yes,True,,,
1017,1017,1017,True,wsj_1017,Do not sell or share my personal information,Yes,True,,,
1054,1054,1054,True,forbes_1054,Do not sell or share my personal information,Yes,True,,,
